file_path,scansionato_riga_per_riga,corruzioni_trovate,patch_applicata,note
"/home/pythonwoods/dev/PythonSandbox/zenzic/.github/ISSUE_TEMPLATE/gate-bypass-postmortem.md",Y,0,N,""
"/home/pythonwoods/dev/PythonSandbox/zenzic/.github/PULL_REQUEST_TEMPLATE.md",Y,0,N,""
"/home/pythonwoods/dev/PythonSandbox/zenzic/CHANGELOG.md",Y,4,Y,""
"/home/pythonwoods/dev/PythonSandbox/zenzic/CODE_OF_CONDUCT.md",Y,0,N,""
"/home/pythonwoods/dev/PythonSandbox/zenzic/CONTRIBUTING.it.md",Y,0,N,""
"/home/pythonwoods/dev/PythonSandbox/zenzic/CONTRIBUTING.md",Y,0,N,""
"/home/pythonwoods/dev/PythonSandbox/zenzic/README.it.md",Y,0,N,""
"/home/pythonwoods/dev/PythonSandbox/zenzic/README.md",Y,0,N,""
"/home/pythonwoods/dev/PythonSandbox/zenzic/RELEASE.md",Y,0,N,""
"/home/pythonwoods/dev/PythonSandbox/zenzic/ROADMAP.md",Y,1,N,"Possibile storico o fuori-scope: richiede review manuale"
"/home/pythonwoods/dev/PythonSandbox/zenzic/SECURITY.md",Y,0,N,""
"/home/pythonwoods/dev/PythonSandbox/zenzic/changelogs/README.md",Y,0,N,""
"/home/pythonwoods/dev/PythonSandbox/zenzic/changelogs/v0.1.md",Y,0,N,""
"/home/pythonwoods/dev/PythonSandbox/zenzic/changelogs/v0.2.md",Y,1,N,"Possibile storico o fuori-scope: richiede review manuale"
"/home/pythonwoods/dev/PythonSandbox/zenzic/changelogs/v0.3.md",Y,0,N,""
"/home/pythonwoods/dev/PythonSandbox/zenzic/changelogs/v0.4.md",Y,5,N,"Possibile storico o fuori-scope: richiede review manuale"
"/home/pythonwoods/dev/PythonSandbox/zenzic/changelogs/v0.5.md",Y,3,N,"Possibile storico o fuori-scope: richiede review manuale"
"/home/pythonwoods/dev/PythonSandbox/zenzic/changelogs/v0.6.md",Y,0,N,""
"/home/pythonwoods/dev/PythonSandbox/zenzic/changelogs/v0.7.md",Y,5,N,"Possibile storico o fuori-scope: richiede review manuale"
"/home/pythonwoods/dev/PythonSandbox/zenzic/examples/broken-docs/README.it.md",Y,0,N,""
"/home/pythonwoods/dev/PythonSandbox/zenzic/examples/broken-docs/README.md",Y,0,N,""
"/home/pythonwoods/dev/PythonSandbox/zenzic/examples/broken-docs/docs/_drafts/unreleased.md",Y,0,N,""
"/home/pythonwoods/dev/PythonSandbox/zenzic/examples/broken-docs/docs/api.md",Y,0,N,""
"/home/pythonwoods/dev/PythonSandbox/zenzic/examples/broken-docs/docs/index.md",Y,0,N,""
"/home/pythonwoods/dev/PythonSandbox/zenzic/examples/broken-docs/docs/orphan-nav.md",Y,0,N,""
"/home/pythonwoods/dev/PythonSandbox/zenzic/examples/broken-docs/docs/tutorial.md",Y,0,N,""
"/home/pythonwoods/dev/PythonSandbox/zenzic/examples/custom-dir-target/README.md",Y,0,N,""
"/home/pythonwoods/dev/PythonSandbox/zenzic/examples/custom-dir-target/content/guides/setup.md",Y,0,N,""
"/home/pythonwoods/dev/PythonSandbox/zenzic/examples/custom-dir-target/content/index.md",Y,0,N,""
"/home/pythonwoods/dev/PythonSandbox/zenzic/examples/docusaurus-v3-enterprise/README.md",Y,0,N,""
